Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
2020-02-24,AF,Afghanistan,EMRO,5,5,0,0
2020-02-25,AF,Afghanistan,EMRO,0,5,0,0
2020-02-26,AF,Afghanistan,EMRO,0,5,0,0
2020-02-27,AF,Afghanistan,EMRO,0,5,0,0
2020-02-28,AF,Afghanistan,EMRO,0,5,0,0
2020-02-29,AF,Afghanistan,EMRO,0,5,0,0
2020-03-01,AF,Afghanistan,EMRO,0,5,0,0
2020-03-02,AF,Afghanistan,EMRO,0,5,0,0
2020-03-03,AF,Afghanistan,EMRO,0,5,0,0
2020-03-04,AF,Afghanistan,EMRO,0,5,0,0
2020-03-05,AF,Afghanistan,EMRO,0,5,0,0
2020-03-06,AF,Afghanistan,EMRO,0,5,0,0
2020-03-07,AF,Afghanistan,EMRO,3,8,0,0
2020-03-08,AF,Afghanistan,EMRO,0,8,0,0
2020-03-09,AF,Afghanistan,EMRO,0,8,0,0
2020-03-10,AF,Afghanistan,EMRO,0,8,0,0
2020-03-11,AF,Afghanistan,EMRO,3,11,0,0
2020-03-12,AF,Afghanistan,EMRO,0,11,0,0
2020-03-13,AF,Afghanistan,EMRO,0,11,0,0
2020-03-14,AF,Afghanistan,EMRO,3,14,0,0
2020-03-15,AF,Afghanistan,EMRO,6,20,0,0
2020-03-16,AF,Afghanistan,EMRO,5,25,0,0
2020-03-17,AF,Afghanistan,EMRO,1,26,0,0
2020-03-18,AF,Afghanistan,EMRO,0,26,0,0
